"track_id","duration_ms","time_signature","tempo","key","mode","valence","liveness","instrumentalness","acousticness","speechiness","loudness","energy","danceability"
"5aAx2yezTd8zXrkmtKl66Z","230453","4","186.054","7","1","0.535","0.134","3.49e-06","0.165","0.282","-7.028","0.594","0.681"
"7BKLCZ1jbUBVqRi2FVlTVw","244960","4","95.01","8","1","0.661","0.111","0","0.414","0.0338","-5.599","0.524","0.748"
"5knuzwU65gJK7IF5yJsuaW","251088","4","101.965","9","0","0.742","0.18","0","0.406","0.0523","-4.068","0.763","0.72"
"4pdPtRcBmOSQDlJ3Fk945m","205947","4","199.864","8","1","0.142","0.122","1.02e-05","0.0784","0.0576","-5.309","0.718","0.476"
"5MFzQMkrl1FOOng9tq6R9r","214480","4","100.048","7","1","0.447","0.0975","0","0.338","0.08","-6.126","0.623","0.783"
"6fujklziTHa8uoM5OQSfIo","291893","4","145.926","0","1","0.355","0.128","0","0.142","0.0649","-6.163","0.632","0.794"
"3NdDpSvN911VPGivFlV5d0","245200","4","117.973","0","1","0.0862","0.325","1.3e-05","0.0631","0.0585","-8.374","0.451","0.735"
"343YBumqHu19cGoGARUTsd","210937","4","134.007","9","0","0.613","0.176","0","0.105","0.287","-9.35","0.481","0.928"
"6b8Be6ljOzmkOmFslEb23P","225983","4","106.97","1","1","0.632","0.153","0","0.034","0.0797","-4.282","0.803","0.818"
"5uCax9HTNlzGybIStD3vDh","211467","4","85.043","10","1","0.494","0.0902","0","0.695","0.059","-7.398","0.557","0.358"
"0bYg9bo50gSsH3LtXe2SQn","241107","4","150.273","7","1","0.35","0.0708","0","0.164","0.0384","-7.463","0.627","0.336"
"5GXAXm5YOmYT0kL5jHvYBt","269187","4","92.99","0","0","0.585","0.0679","0","0.426","0.118","-5.946","0.819","0.773"
"1xznGGDReH1oQq0xzbwXa3","173987","4","103.989","1","1","0.371","0.351","0.00423","0.00784","0.0532","-5.886","0.619","0.791"
"6DNtNfH8hXkqOX1sjqmI7p","185352","4","92.943","6","0","0.501","0.156","0","0.0736","0.0432","-5.092","0.798","0.608"
"6bLopGnirdrilrpdVB6Um1","210920","4","191.95","10","0","0.686","0.0512","0.00107","0.0174","0.174","-6.167","0.785","0.639"
"04DwTuZ2VBdJCCC5TROn7L","195840","4","133.889","4","0","0.196","0.337","0","0.0592","0.0406","-6.237","0.485","0.49"
"78rIJddV4X0HkNAInEcYde","222041","4","104.998","0","1","0.717","0.159","0.000611","0.0604","0.0362","-4.031","0.838","0.67"
"6mICuAdrwEjh6Y6lroV2Kg","195840","4","102.034","8","0","0.907","0.159","3.05e-05","0.187","0.0776","-2.921","0.773","0.852"
"4pLwZjInHj3SimIyN9SnOz","226160","4","159.145","6","0","0.603","0.292","0","0.0408","0.247","-5.883","0.738","0.648"
"3EmmCZoqpWOTY1g2GBwJoR","198774","4","114.991","11","1","0.374","0.0574","1.5e-06","0.00383","0.0824","-3.515","0.932","0.647"
"2FRnf9qhLbvw8fu4IBXx78","262960","4","107.682","2","1","0.947","0.355","2.48e-06","0.189","0.0293","-12.472","0.478","0.735"
"1qOLh0tI7trd1zdDKxYZTe","181880","4","99.721","4","1","0.512","0.102","0","0.371","0.126","-4.23","0.633","0.636"
"4Km5HrUvYTaSUfiSGPJeQR","343150","4","127.076","11","1","0.175","0.123","0","0.061","0.244","-5.313","0.665","0.927"
"1PSBzsahR2AKwLJgx8ehBj","239293","4","137.853","2","1","0.305","0.185","0","0.214","0.146","-4.757","0.691","0.697"
"4TZy1wLyHec06pwgFYDh1a","208733","4","147.734","11","0","0.374","0.11","0","0.137","0.117","-4.921","0.68","0.469"
"1vvNmPOiUuyCbgWmtc6yfm","219160","4","119.989","4","0","0.536","0.161","3.72e-05","0.0935","0.0427","-3.059","0.913","0.819"
"6i0V12jOa3mr6uu4WYhUBr","195920","4","90.024","4","0","0.548","0.105","3.58e-05","0.0841","0.0286","-9.348","0.396","0.732"
"2rizacJSyD9S1IQUxUxnsK","194080","4","90.0","0","1","0.296","0.115","0.00272","0.097","0.0307","-8.821","0.586","0.662"
"0QsvXIfqM0zZoerQfsI9lm","208053","4","159.797","11","1","0.403","0.137","0.00466","0.16","0.197","-5.651","0.859","0.542"
"4Hf7WnR761jpxPr5D46Bcd","187973","4","166.018","10","0","0.821","0.114","0","0.123","0.246","-4.105","0.803","0.624"
"0prNGof3XqfTvNDxHonvdK","230227","4","97.085","0","1","0.451","0.111","0","0.0285","0.129","-5.74","0.739","0.573"
"3AEZUABDXNtecAOSC1qTfo","222560","4","93.974","4","0","0.71","0.176","0","0.4","0.0502","-3.073","0.838","0.761"
"6nxQdXa1uAL0rY72wPZu89","210293","4","123.889","8","1","0.709","0.0763","0","0.591","0.0865","-3.842","0.762","0.488"
"4b4KcovePX8Ke2cLIQTLM0","197640","4","145.017","8","1","0.448","0.323","0","0.0038","0.0363","-5.098","0.809","0.544"
"6JV2JOEocMgcZxYSZelKcc","236002","4","113.03","0","1","0.701","0.191","0","0.0123","0.0749","-5.715","0.83","0.667"
"08WPvDEsHvTFuB9w8tC2OS","193181","4","107.059","11","0","0.858","0.196","0","0.273","0.188","-5.874","0.57","0.781"
"7aV2mflaASUmGhCErm7kBO","167038","4","106.031","0","1","0.541","0.23","0","0.0707","0.0602","-4.281","0.883","0.707"
"1D3ODoXHBLpdxolZRHWV1j","201254","4","122.978","6","1","0.644","0.0581","0","0.0778","0.0331","-3.838","0.743","0.696"
"68EMU2RD1ECNeOeJ5qAXCV","217707","4","100.017","1","0","0.352","0.179","0","0.621","0.134","-8.053","0.563","0.728"
"0JiVRyTJcJnmlwCZ854K4p","161200","4","97.019","10","1","0.157","0.121","0.000405","0.186","0.0458","-3.194","0.929","0.676"
"0lLdorYw7lVrJydTINhWdI","206640","3","94.775","4","1","0.363","0.341","7.47e-06","0.908","0.0375","-11.714","0.214","0.339"
"4Q4jmPHwu0wrJvqrld0FQ6","226720","4","121.028","2","0","0.297","0.0839","0","0.0853","0.0524","-3.949","0.713","0.486"
"4F7A0DXBrmUAkp32uenhZt","249213","4","77.525","1","1","0.218","0.259","2.31e-05","0.189","0.105","-8.389","0.63","0.573"
