"track_id","track_name","type","popularity","duration_ms","is_explicit","is_local","artist_id","artist_name","artist_type","feat_artists_id","feat_artists_name","album_id","album_name","album_type","album_release_date","album_total_tracks"
"5aAx2yezTd8zXrkmtKl66Z","Starboy","track","2","230453","True","False","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","artist","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","09fggMHib4YkOtwQNXEBII","Starboy","album","2016-11-25","18"
"7BKLCZ1jbUBVqRi2FVlTVw","Closer","track","83","244960","False","False","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","artist","26VFTg2z8YR0cCuwLzESi2","Halsey","0rSLgV8p5FzfnqlEk4GzxE","Closer","single","2016-07-29","1"
"5knuzwU65gJK7IF5yJsuaW","Rockabye (feat. Sean Paul & Anne-Marie)","track","76","251088","False","False","6MDME20pz9RveH9rEXvrOM","Clean Bandit","artist","3Isy6kedDrgPYoTS1dazA9-1zNqDE7qDGCsyzJwohVaoX","Sean Paul-Anne-Marie","3meZFplbMmji648oWUNEfQ","Rockabye (feat. Sean Paul & Anne-Marie)","single","2016-10-21","1"
"4pdPtRcBmOSQDlJ3Fk945m","Let Me Love You","track","3","205946","False","False","540vIaP2JwjQb9dm3aArA4","DJ Snake","artist","1uNFoZAHBGtllmzznpCI3s","Justin Bieber","55bbXORm6ZrVq52zfZnxBf","Encore","album","2016-08-05","14"
"5MFzQMkrl1FOOng9tq6R9r","Don't Wanna Know","track","1","214480","False","False","04gDigrS5kc9YWfZHwBETP","Maroon 5","artist","2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","0fvTn3WXF39kQs9i3bnNpP","Don't Wanna Know","single","2016-10-11","1"
"6fujklziTHa8uoM5OQSfIo","Black Beatles","track","75","291893","True","False","7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","artist","13y7CgLHjMVRMDqxdx0Xdo","Gucci Mane","5v6iBhIlflzR9rEd1LAMbd","SremmLife 2 (Deluxe)","album","2016-08-12","14"
"3NdDpSvN911VPGivFlV5d0","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","track","2","245200","False","False","5ZsFI1h6hIdQRw2ti0hz81","ZAYN","artist","06HL4z0CvFAxyc27GXpf02","Taylor Swift","5MxXY7DbFMUiHFTPUabgJJ","I Don’t Wanna Live Forever (Fifty Shades Darker)","single","2016-12-09","1"
"343YBumqHu19cGoGARUTsd","Fake Love","track","74","210937","True","False","3TVXtAsR1Inumwj472S9r4","Drake","artist","","","1lXY618HWkwYKJWBRYR4MK","More Life","album","2017-03-18","22"
"6b8Be6ljOzmkOmFslEb23P","24K Magic","track","77","225983","False","False","0du5cEVh5yTK9QJze8zA0C","Bruno Mars","artist","","","4PgleR09JVnm3zY1fW3XBA","24K Magic","album","2016-11-17","9"
"5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go","track","85","211466","False","False","4IWBUUAFIplrNtaOHcJPRM","James Arthur","artist","","","7oiJYvEJHsmYtrgviAVIBD","Back from the Edge","album","2016-10-28","17"
"0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","track","89","241106","False","False","4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","artist","","","61ulfFSmmxMhc2wCdmdMkN","Merry Christmas","album","1994-11-01","10"
"5GXAXm5YOmYT0kL5jHvYBt","I Feel It Coming","track","65","269186","False","False","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","artist","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","4AdZV63ycxFLF6Hcol0QnB","Starboy","album","2016-11-24","18"
"1xznGGDReH1oQq0xzbwXa3","One Dance","track","2","173986","False","False","3TVXtAsR1Inumwj472S9r4","Drake","artist","3tVQdUvClmAT7URs9V3rsp-77DAFfvm3O9zT5dIoG0eIO","WizKid-Kyla","3hARKC8cinq3mZLLAEaBh9","Views","album","2016-05-06","20"
"6DNtNfH8hXkqOX1sjqmI7p","Cold Water (feat. Justin Bieber & MØ)","track","2","185351","False","False","738wLrAtLtCtFOLvQBXOXp","Major Lazer","artist","1uNFoZAHBGtllmzznpCI3s-0bdfiayQAKewqEvaU6rXCv","Justin Bieber-MØ","3o99825qhG7K7D07naRs4F","Cold Water (feat. Justin Bieber & MØ)","single","2016-07-22","1"
"6bLopGnirdrilrpdVB6Um1","The Greatest","track","66","210920","False","False","5WUlDfRSoLAfcVSX1WnrxN","Sia","artist","","","2eV6DIPDnGl1idcjww6xyX","This Is Acting (Deluxe Version)","album","2016-10-21","19"
"04DwTuZ2VBdJCCC5TROn7L","In the Name of Love","track","21","195840","False","False","60d24wfXkVzDSfLS6hyCjZ","Martin Garrix","artist","64M6ah0SkkRsnPGtGiRAbb","Bebe Rexha","75kX486cBBkuaLkZGjBptl","The Martin Garrix Collection","compilation","2017-04-21","15"
"78rIJddV4X0HkNAInEcYde","Call On Me - Ryan Riback Extended Remix","track","47","222040","False","False","02A3cEvlLLCbIMVDrK2GHV","Starley","artist","33JQK4UoS2aMPYBfdB5Ftt","Ryan Riback","4pZbAcipxqdFcwjiFkuwes","Call On Me (Remixes)","single","2016-10-14","8"
"6mICuAdrwEjh6Y6lroV2Kg","Chantaje (feat. Maluma)","track","74","195840","False","False","0EmeFodog0BfCgMzAIvKQp","Shakira","artist","1r4hJ1h58CWwUQe3MxPuau","Maluma","6bUxh58rYTL67FS8dyTKMN","El Dorado","album","2017-05-26","13"
"4pLwZjInHj3SimIyN9SnOz","Side To Side","track","1","226160","True","False","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","artist","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","4lVR2fg3DAUQpGVJ6DciHW","Dangerous Woman","album","2016-05-20","15"
"3EmmCZoqpWOTY1g2GBwJoR","Just Hold On","track","66","198774","False","False","77AiFEVeAVj2ORpC85QVJs","Steve Aoki","artist","57WHJIHrjOE3iAxpihhMnp","Louis Tomlinson","6NomK9f7zRLOuScvAyI1XX","Just Hold On","single","2016-12-10","1"
"2FRnf9qhLbvw8fu4IBXx78","Last Christmas","track","81","262960","False","False","5lpH0xAS4fVfLkACg9DAuM","Wham!","artist","","","6egzU9NKfora01qaNbvwfZ","LAST CHRISTMAS","single","1984-11-29","3"
"1qOLh0tI7trd1zdDKxYZTe","Starving","track","0","181880","True","False","5p7f24Rk5HkUZsaS3BLG5F","Hailee Steinfeld","artist","4lDBihdpMlOalxy1jkUbPl-2qxJFvFYMEDqd7ui6kSAcq","Grey-Zedd","3Nuw6arrA8kVwhIvyGbiku","HAIZ","single","2016-07-15","6"
"4Km5HrUvYTaSUfiSGPJeQR","Bad and Boujee (feat. Lil Uzi Vert)","track","75","343150","True","False","6oMuImdp5ZcFhWP0ESe6mG","Migos","artist","4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2AvupjUeMnSffKEV05x222","Culture","album","2017-01-27","13"
"1PSBzsahR2AKwLJgx8ehBj","Bad Things (with Camila Cabello)","track","72","239293","False","False","6TIYQ3jFPwQSRmorSezPxX","Machine Gun Kelly","artist","4nDoRrQiYLoBzwC5BhVJzF","Camila Cabello","3yWRq9Dd2UO5xyqxTjLDmp","bloom","album","2017-05-12","13"
"4TZy1wLyHec06pwgFYDh1a","Mercy","track","0","208733","False","False","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","artist","","","6FLZDJq4UuwqcaQlI4XCP1","Illuminate","album","2017-03-03","18"
"1vvNmPOiUuyCbgWmtc6yfm","My Way","track","74","219159","False","False","7CajNmpbOovFoOoasH2HaY","Calvin Harris","artist","","","0dzeoQhVNzKkwM5ieOJC54","My Way","single","2016-09-16","1"
"6i0V12jOa3mr6uu4WYhUBr","Heathens","track","80","195920","False","False","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","artist","","","3J8W9AOjQhnBLCX33m3atT","Heathens","single","2016-06-16","1"
"2rizacJSyD9S1IQUxUxnsK","All We Know","track","68","194080","False","False","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","artist","4N874uPqBka1QiCvnCVOtr","Phoebe Ryan","0xmaV6EtJ4M3ebZUPRnhyb","All We Know","single","2016-09-29","1"
"0QsvXIfqM0zZoerQfsI9lm","Don't Let Me Down (feat. Daya)","track","40","208053","False","False","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","artist","6Dd3NScHWwnW6obMFbl1BH","Daya","3ShQFl9FladFKlonwPGZFc","The Chainsmokers- Japan Special Edition","album","2016-08-10","7"
"4Hf7WnR761jpxPr5D46Bcd","Treat You Better","track","0","187973","False","False","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","artist","","","6FLZDJq4UuwqcaQlI4XCP1","Illuminate","album","2017-03-03","18"
"0prNGof3XqfTvNDxHonvdK","Scars To Your Beautiful","track","73","230226","False","False","2wUjUUtkb5lvLKcGKsKqsR","Alessia Cara","artist","","","3rDbA12I5duZnlwakqDdZa","Know-It-All (Deluxe)","album","2015-11-13","13"
"3AEZUABDXNtecAOSC1qTfo","Reggaetón Lento (Bailemos)","track","72","222560","False","False","0eecdvMrqBftK0M1VKhaF4","CNCO","artist","","","0YLrAWUbY0nyM7PFtqnYld","Primera Cita","album","2016-08-26","14"
"6nxQdXa1uAL0rY72wPZu89","Love Me Now","track","66","210293","False","False","5y2Xq6xcjJb2jVM54GHK3t","John Legend","artist","","","7xMjYDrgPLp1ReFGAOyS1O","DARKNESS AND LIGHT","album","2016-12-02","12"
