"region","week","date_from","date_to","track_id","track_name","artist","track_position","track_streams","track_url"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","5aAx2yezTd8zXrkmtKl66Z","Starboy","The Weeknd","1","25286465","https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","7BKLCZ1jbUBVqRi2FVlTVw","Closer","The Chainsmokers","2","22047697","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","5knuzwU65gJK7IF5yJsuaW","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","3","19794482","https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","4pdPtRcBmOSQDlJ3Fk945m","Let Me Love You","DJ Snake","4","17965723","https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","5MFzQMkrl1FOOng9tq6R9r","Don't Wanna Know","Maroon 5","5","16966668","https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","6fujklziTHa8uoM5OQSfIo","Black Beatles","Rae Sremmurd","6","16831609","https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","3NdDpSvN911VPGivFlV5d0","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","7","16797090","https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","343YBumqHu19cGoGARUTsd","Fake Love","Drake","8","16629189","https://open.spotify.com/track/343YBumqHu19cGoGARUTsd"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","6b8Be6ljOzmkOmFslEb23P","24K Magic","Bruno Mars","9","16023066","https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go","James Arthur","10","15571413","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh"
