,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",2801826,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,"L-Gante Rkt","Papu DJ",2708664,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
3,DÁKITI,"Bad Bunny",2673089,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,BICHOTA,"KAROL G",2583123,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
5,"Si Me Tomo Una Cerveza",Migrantes,2345624,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
6,"Hecha Pa' Mi",Boza,2279169,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
7,"LA NOCHE DE ANOCHE","Bad Bunny",2085446,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
8,BEBÉ,Camilo,2023979,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
9,Bésame,"El Reja",1816982,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
10,Hawái,Maluma,1776828,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
11,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,1721544,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
12,"Chica Ideal","Sebastian Yatra",1651309,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
13,Reloj,"Rauw Alejandro",1615771,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
14,Animal,"Maria Becerra",1609764,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
15,"Vida de Rico",Camilo,1552729,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
16,"La Nota","Manuel Turizo",1461701,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
17,"La Tóxica",Farruko,1448841,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
18,Jeans,"Justin Quiles",1356257,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
19,Confiesalo,"Maria Becerra",1355344,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
20,"Una Locura",Ozuna,1290768,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
21,Polvo,"Nicky Jam",1196506,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
22,"Relación - Remix",Sech,1188347,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
23,"drivers license","Olivia Rodrigo",1160145,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
24,Verte,"Nicki Nicole",1156070,https://open.spotify.com/track/2mMZAd3ol9wGI2WJl4XJCF
25,"Ponte Pa' Mi","Justin Quiles",1098391,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
26,"La Curiosidad","Jay Wheeler",1070497,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
27,"Barrio Prendido","The La Planta",1052888,https://open.spotify.com/track/2I3qA0KslRCxFTfZnPyDhf
28,"Parce (feat. Justin Quiles)",Maluma,1022937,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
29,"Ay, DiOs Mío!","KAROL G",992062,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
30,Despeinada,Ozuna,958958,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
31,"High (Remix)","Maria Becerra",922798,https://open.spotify.com/track/2HpbDdD3JLpAPMJFYCeC6o
32,"Tattoo - Remix with Camilo","Rauw Alejandro",915046,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
33,"Ayer Me Llamó Mi Ex – Remix",KHEA,907003,https://open.spotify.com/track/59nnGpAU3AiL2tD0o2It11
34,"Mi Niña",Wisin,880189,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
35,"Si Me Tomo una Cerveza - Remix",Migrantes,878735,https://open.spotify.com/track/7oySelE0Cb5q1TBBSPZJT2
36,"Se Te Nota (with Guaynaa)","Lele Pons",874502,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
37,"Ya No Más","Fer Palacio",856043,https://open.spotify.com/track/4gQG2Ic7hnJMAcqunk4ERT
38,Caramelo,Ozuna,803275,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
39,"De Cora <3","Rauw Alejandro",786245,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
40,"TE MUDASTE","Bad Bunny",763260,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
41,DUDADE,Dillom,757433,https://open.spotify.com/track/1mjHyr9e7uP0QisX3y7a6T
42,Bonita,"El Reja",744075,https://open.spotify.com/track/4KlrEwjhXnHLtmKauxVHJz
43,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",741967,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
44,"Mi Cuarto","Jerry Di",689926,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
45,"Mamichula - con Nicki Nicole",Trueno,673739,https://open.spotify.com/track/0TUW9faHNaBmi89wsYGp9y
46,"En Tu Cuerpo - Remix",Lyanno,667623,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
47,"Cerca de tí - Remix","Tiago PZK",622910,https://open.spotify.com/track/51g3eI9dcemoeyk2mSe8wN
48,"Blinding Lights","The Weeknd",606066,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
49,Enchule,"Rauw Alejandro",588762,https://open.spotify.com/track/0S9ZVNTNRzLMgb96tmmG1u
50,"La Jeepeta - Remix","Nio Garcia",578349,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
51,"Tú Me Dejaste De Querer","C. Tangana",508918,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
52,Favorito,Camilo,485827,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
53,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,481882,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
54,Azul,"J Balvin",475886,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
55,"Watermelon Sugar","Harry Styles",475016,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
56,"Pininfarina - Remix",Rei,470105,https://open.spotify.com/track/1mVLbFwad1wce7mAhFw2Ih
57,Tusa,"KAROL G",465146,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
58,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",464491,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
59,"Cómo estás","Ke Personajes",452877,https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk
60,Playa,TINI,448480,https://open.spotify.com/track/3OYk6SZD86hLCR8tCebf89
61,"No Te Enamores - Remix",Milly,438880,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
62,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",437165,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
63,2:50,MYA,428778,https://open.spotify.com/track/5xlxSHnvXwT66JWYwDkEFE
